id,text,unit,updated,firstPeriod,latestPeriod,active,variables
DIS129,Aktive internetabonnementer,antal,2020-08-14T08:00:00,2002H2,2019H2,True,"['antal og andel', 'privat og erhverv', 'tid']"
VIR331,Omsætning på internettet,-,2020-11-16T08:00:00,2000K1,2020K2,True,"['annnonceringstype', 'tid']"
MUSKOL01,Musikskoler,-,2021-01-20T08:00:00,2012:2013,2019:2020,True,"['område', 'nøgletal', 'tid']"
MUSKOL02,Elever på musikskole,antal,2021-01-20T08:00:00,2012:2013,2019:2020,True,"['område', 'status for musikskoleelever', 'fag', 'alder', 'køn', 'tid']"
MUSKOL03,Fastholdelse af musikskoleelever,antal,2021-01-20T08:00:00,2013:2014,2019:2020,True,"['område', 'fag', 'fortsættere', 'tid']"
MUSKOL04,Personale på musikskoler,antal,2021-01-20T08:00:00,2012:2013,2019:2020,True,"['område', 'personalekategori', 'arbejdstidens omfang', 'tid']"
MUSKOL05,Ledende personale med undervisning,antal,2021-01-20T08:00:00,2012:2013,2019:2020,True,"['område', 'personkategori', 'ansættelsesprocent', 'undervisningstid', 'uddannelse', 'tid']"
MUSKOL06,Musikskolernes økonomi,kr.,2021-01-20T08:00:00,2012:2013,2019:2020,True,"['område', 'økonomiske nøgletal', 'tid']"
MUSIK1,Salg af indspillet musik,mio. kr.,2020-07-02T08:00:00,2008,2019,True,"['nationalitet', 'distributionsform', 'tid']"
MUSIK2,Køb af rettigheder til afspilning af musik,kr.,2020-07-02T08:00:00,2008,2019,True,"['branche (DB07)', 'område', 'tid']"
MUSIK3,Indtægter ved salg af musik,kr.,2020-07-02T08:00:00,2012,2019,True,"['rettighedsejertype', 'område', 'tid']"
MUSIK4,Autorers indtægter fra musikrettigheder,kr.,2020-07-02T08:00:00,2012,2019,True,"['køn', 'alder', 'område', 'tid']"
KVULIV01,Befolkningens deltagelse i koncerter,andel i pct.,2021-03-01T08:00:00,2018,2019,True,"['køn', 'genre', 'alder', 'tid']"
KVULIV02,Befolkningens deltagelse i koncerter,andel i pct.,2021-03-01T08:00:00,2018,2019,True,"['uddannelse', 'genre', 'alder', 'tid']"
LIVMUS01,Publikum til koncerter,antal,2021-03-02T08:00:00,2018,2019,True,"['koncertarrangør', 'koncertstørrelse', 'tid']"
LIVMUS02,Antal koncerter,antal,2021-03-02T08:00:00,2018,2019,True,"['koncertarrangør', 'koncertstørrelse', 'tid']"
LIVMUS03,Koncertarrangører,antal,2021-03-02T08:00:00,2018,2019,True,"['arrangørtype', 'sektor', 'branche (DB07)', 'tid']"
LIVMUS04,Koncertarrangører,antal,2021-03-02T08:00:00,2018,2019,True,"['arrangørtype', 'sektor', 'landsdel', 'tid']"
SCENE01,Aktiviteter på danske teatre,antal,2020-04-03T08:00:00,2015/2016,2018/2019,True,"['teaterkategori', 'aktivitet', 'genre', 'tid']"
SCENE02,Produktioner på danske teatre,antal,2020-04-03T08:00:00,2015/2016,2018/2019,True,"['teaterkategori', 'publikumsgruppe', 'scene', 'genre', 'tid']"
SCENE03,Opførelser på danske teatre,antal,2020-04-03T08:00:00,2015/2016,2018/2019,True,"['teaterkategori', 'publikumsgruppe', 'scene', 'genre', 'tid']"
SCENE04,Tilskuere på danske teatre,antal,2020-04-03T08:00:00,2015/2016,2018/2019,True,"['teaterkategori', 'tilskuere', 'scene', 'genre', 'tid']"
SCENE05,Danske teatre,antal,2020-04-03T08:00:00,2015/2016,2018/2019,True,"['teaterkategori', 'teatrets primære publikum', 'tid']"
SCENE06,Udenlandske gæstespil på danske scener,antal,2020-04-03T08:00:00,2015/2016,2018/2019,True,"['teaterkategori', 'aktivitet', 'genre', 'nationalitet', 'tid']"
SCENE07,Danske teatres turne i udlandet,antal,2020-04-03T08:00:00,2015/2016,2018/2019,True,"['teaterkategori', 'aktivitet', 'genre', 'land', 'tid']"
SCENE08,Statsstøttede teatres økonomi,1.000,2020-04-03T08:00:00,2015/2016,2018/2019,True,"['teaterkategori', 'økonomi', 'tid']"
IDRFIN01,Kommunale udgifter (1000 kr.) til idræt,1.000 kr.,2020-06-02T08:00:00,2011,2019,True,"['område', 'funktion', 'dranst', 'tid']"
IDRFIN02,Kommunale udgifter (Kr.) pr. indbygger til idræt,kr. pr. indb.,2020-06-02T08:00:00,2011,2019,True,"['område', 'funktion', 'dranst', 'tid']"
IDROEKO1,Idrætsbranchernes økonomiske nøgletal,-,2020-06-03T08:00:00,2013,2018,True,"['branche (DB07)', 'nøgletal', 'tid']"
IDRUDD01,Elevtal på fuldtids idrætsuddannelser,antal,2021-03-03T08:00:00,2015,2019,True,"['køn', 'uddannelsestype', 'status', 'tid']"
IDRFU01,Idrætsforbrug for en gennemsnitshusstand,-,2021-03-03T08:00:00,2014,2019,True,"['forbrugsgruppe', 'tid']"
IDRFU02,Idrætsforbrug,-,2021-03-03T08:00:00,2014,2019,True,"['forbrugsgruppe', 'socioøkonomisk status', 'tid']"
IDRFU03,Idrætsforbrug,-,2021-03-03T08:00:00,2014,2019,True,"['forbrugsgruppe', 'husstand', 'tid']"
IDRFU04,Idrætsforbrug,-,2021-03-03T08:00:00,2014,2019,True,"['forbrugsgruppe', 'samlet indkomst', 'tid']"
IDRFU05,Idrætsforbrug,-,2021-03-03T08:00:00,2014,2019,True,"['forbrugsgruppe', 'boligform', 'tid']"
IDRFU06,Idrætsforbrug,-,2021-03-03T08:00:00,2014,2019,True,"['forbrugsgruppe', 'region', 'tid']"
IDRFU07,Idrætsforbrug,-,2021-03-03T08:00:00,2014,2019,True,"['forbrugsgruppe', 'alder', 'tid']"
IDRBES01,Idrætsbeskæftigelse,antal,2021-01-18T08:00:00,2015,2019,True,"['branche (DB07)', 'køn', 'alder', 'nøgletal', 'tid']"
IDRBES02,Idrætsbeskæftigelse,antal,2021-01-18T08:00:00,2015,2019,True,"['branche (DB07)', 'funktion', 'nøgletal', 'tid']"
IDRBES03,Idrætsbeskæftigelse,antal,2021-01-18T08:00:00,2015,2019,True,"['branche (DB07)', 'uddannelsesniveau', 'nøgletal', 'tid']"
MEDALJE1,Danske vindere af internationale sportsmedaljer,antal,2021-03-03T08:00:00,1980,2020,True,"['mesterskab', 'idrætsgrene', 'medalje', 'tid']"
IDRRES01,Idrætsresultater i OL-discipliner,antal,2021-03-03T08:00:00,2016,2020,True,"['disciplin', 'land', 'præstation', 'tid']"
IDRRES02,Idrætsresultater i OL-discipliner,-,2021-03-03T08:00:00,2016,2020,True,"['disciplin', 'land', 'relativ præstation', 'tid']"
IDRRANG1,Rangering af samlet præstation i OL-discipliner,antal,2021-03-03T08:00:00,2016,2020,True,"['disciplin', 'land', 'præstation', 'rangplacering', 'tid']"
IDRVAN01,Voksnes idrætsudøvelse,pct.,2018-01-17T08:00:00,2007,2016,True,"['køn og alder', 'idrætsgrene', 'tid']"
IDRVAN02,Voksnes idrætsudøvelse,pct.,2018-01-17T08:00:00,2007,2016,True,"['køn og alder', 'deltagelse', 'tid']"
IDRVAN03,Idrætsaktive voksnes idrætsudøvelse,pct.,2018-01-17T08:00:00,2007,2016,True,"['køn og alder', 'hyppighed', 'tid']"
IDRVAN04,Idrætsaktive voksnes idrætsudøvelse,pct.,2018-01-17T08:00:00,2007,2016,True,"['køn og alder', 'tidsforbrug', 'tid']"
IDRVAN05,Voksnes idrætsudøvelse,pct.,2018-01-17T08:00:00,2007,2016,True,"['køn og alder', 'organisering', 'tid']"
IDRVAN06,Voksnes idrætsudøvelse,pct.,2017-12-19T08:00:00,2007,2016,True,"['højest fuldførte uddannelse', 'deltagelse', 'tid']"
IDRVAN07,Voksnes idrætsudøvelse,pct.,2017-12-19T08:00:00,2011,2016,True,"['område', 'deltagelse', 'tid']"
IDRVAN08,Voksnes idrætsudøvelse,pct.,2017-12-19T08:00:00,2007,2016,True,"['socioøkonomisk status', 'deltagelse', 'tid']"
IDRVAN09,Børns idrætsudøvelse,pct.,2018-08-09T08:00:00,2007,2016,True,"['alder og køn', 'idrætsgrene', 'tid']"
IDRVAN10,Børns idrætsudøvelse,pct.,2017-12-19T08:00:00,2007,2016,True,"['alder og køn', 'deltagelse', 'tid']"
IDRVAN11,Idrætsaktive børns idrætsudøvelse,pct.,2017-12-19T08:00:00,2007,2016,True,"['alder og køn', 'hyppighed', 'tid']"
IDRVAN12,Idrætsaktive børns idrætsudøvelse,pct.,2017-12-19T08:00:00,2007,2016,True,"['alder og køn', 'tidsforbrug', 'tid']"
IDRVAN13,Børns idrætsudøvelse,pct.,2017-12-19T08:00:00,2007,2016,True,"['alder og køn', 'organisering', 'tid']"
IDRVAN14,Børns idrætsudøvelse,pct.,2017-12-19T08:00:00,2011,2016,True,"['alder og køn', 'forældres baggrund', 'tid']"
IDRKVU01,Befolkningens brug af idrætsrelaterede aktiviteter de seneste tre måneder,pct.,2021-03-01T08:00:00,2018K4,2020K4,True,"['idrætsrelateret aktivitet', 'alder og køn', 'tid']"
IDRAKT01,Idrætsorganisationernes medlemmer,antal,2020-06-02T08:00:00,2014,2019,True,"['område', 'aktivitet', 'køn', 'alder', 'tid']"
IDRAKT02,Idrætsorganisationernes medlemskaber (andel af befolkningen),pct.,2020-06-02T08:00:00,2014,2019,True,"['område', 'køn', 'alder', 'tid']"
IDRTIL01,Tilskuertal til udvalgte sportsgrene,antal,2020-10-09T08:00:00,2006/2007,2019/2020,True,"['sportsgren', 'tilskuere og kampe', 'tid']"
IDRFAC01,Idrætsfaciliteter,antal,2020-10-09T08:00:00,2017,2020,True,"['område', 'facilitetstype', 'tid']"
IDRFOR01,Idrætsforeninger og medlemmer,antal,2020-06-02T08:00:00,2014,2019,True,"['område', 'organisation', 'nøgletal', 'tid']"
KVUAARKA,Forbrug af kulturaktiviteter (år) inden for de seneste tre måneder,pct.,2020-09-01T08:00:00,2018,2019,True,"['kulturaktivitet', 'køn', 'alder', 'tid']"
